beam,range,geoAzm,magAzm,vLos,MLAT,MLT,MLON,GLAT,GLON,radId,radCode,normMLT_x,normMLTRound,spwdth,pwr
5,27,-41.65,-38.83,-378.1679,56.7707,2.5717,-18.7139,45.371,-89.308,33,bks,2.5717,2,108.6326,12.8346
5,28,-41.65,-39.16,-396.3842,57.0027,2.529,-19.3536,45.6378,-89.747,33,bks,2.529,2,108.6326,9.4804
5,29,-41.65,-39.5,-379.2044,57.2309,2.4859,-20.0005,45.9024,-90.1899,33,bks,2.4859,2,108.6326,8.7086
5,30,-41.65,-39.85,-368.0763,57.4553,2.4423,-20.6546,46.1649,-90.6368,33,bks,2.4423,2,101.2517,7.1071
5,31,-41.65,-40.2,-321.3911,57.6758,2.3982,-21.3159,46.4254,-91.0877,33,bks,2.3982,2,93.0169,6.2654
5,32,-41.65,-40.56,-103.821,57.8925,2.3536,-21.9845,46.6837,-91.5429,33,bks,2.3536,2,93.0169,4.6665
6,24,-37.79,-33.27,-208.2372,56.5691,2.7651,-15.8129,45.0843,-87.3019,33,bks,2.7651,2,91.8816,11.6371
6,25,-37.79,-33.55,-221.1927,56.8363,2.7261,-16.3974,45.3789,-87.7046,33,bks,2.7261,2,102.367,14.6025
6,26,-37.79,-33.84,-262.1818,57.1001,2.6866,-16.9892,45.6715,-88.1109,33,bks,2.6866,2,120.3535,15.1733
6,27,-37.79,-34.14,-288.6934,57.3606,2.6467,-17.5884,45.9622,-88.5211,33,bks,2.6467,2,106.0323,12.9667
6,28,-37.79,-34.44,-356.0613,57.6176,2.6062,-18.1953,46.2509,-88.9352,33,bks,2.6062,2,95.6041,11.6571
6,29,-37.79,-34.75,-325.0995,57.8713,2.5653,-18.8098,46.5378,-89.3533,33,bks,2.5653,2,93.2534,9.4804
6,30,-37.79,-35.06,-139.1725,58.1216,2.5238,-19.4322,46.8228,-89.7756,33,bks,2.5238,2,83.0054,8.7086
6,31,-37.79,-35.39,-78.7848,58.3683,2.4817,-20.0626,47.106,-90.2022,33,bks,2.4817,2,92.2524,6.9091
7,22,-33.93,-28.14,-136.668,56.4547,2.9108,-13.6272,44.936,-85.7917,33,bks,2.9108,2,41.8197,9.0995
7,23,-33.93,-28.37,-147.7827,56.7504,2.8755,-14.1569,45.2543,-86.1588,33,bks,2.8755,2,66.9121,12.7661
7,24,-33.93,-28.61,-188.7722,57.0431,2.8397,-14.6937,45.5708,-86.5294,33,bks,2.8397,2,91.648,20.4373
7,25,-33.93,-28.86,-199.4221,57.3328,2.8034,-15.2378,45.8854,-86.9035,33,bks,2.8034,2,100.0775,17.7322
7,26,-33.93,-29.11,-178.1384,57.6196,2.7666,-15.7894,46.1982,-87.2813,33,bks,2.7666,2,108.9312,16.2701
7,27,-33.93,-29.37,-89.8397,57.9034,2.7293,-16.3488,46.5094,-87.6629,33,bks,2.7293,2,64.5534,13.9235
7,28,-33.93,-29.63,-55.9841,58.1842,2.6915,-16.9161,46.8189,-88.0486,33,bks,2.6915,2,53.0926,12.0609
7,29,-33.93,-29.91,-50.6736,58.462,2.6532,-17.4915,47.1267,-88.4383,33,bks,2.6532,2,50.6521,9.4804
8,22,-30.07,-23.51,-122.9984,56.8411,2.9853,-12.5092,45.3428,-85.0246,33,bks,2.9853,2,41.8197,16.5612
8,23,-30.07,-23.7,-136.7748,57.1567,2.9531,-12.9927,45.6792,-85.3602,33,bks,2.9531,2,55.2588,20.7839
8,24,-30.07,-23.9,-140.3729,57.4698,2.9204,-13.4833,46.014,-85.6991,33,bks,2.9204,2,66.9121,21.1408
8,25,-30.07,-24.11,-122.0886,57.7803,2.8872,-13.9812,46.3472,-86.0415,33,bks,2.8872,2,86.9534,20.6314
8,26,-30.07,-24.32,-61.0678,58.0883,2.8535,-14.4866,46.6788,-86.3875,33,bks,2.8535,2,40.0673,16.5794
9,25,-26.21,-19.31,-55.658,58.1742,2.977,-12.6344,46.761,-85.1229,33,bks,2.977,2,29.7526,19.5453
2,22,17.46,15.64,62.3195,58.9878,2.0121,-27.1075,48.1247,-95.037,205,fhe,2.0121,2,28.3717,26.392
2,23,17.46,15.9,52.7728,59.3705,2.0316,-26.8147,48.5061,-94.8077,205,fhe,2.0316,2,13.3883,25.3358
2,24,17.46,16.17,51.2307,59.7515,2.0514,-26.5176,48.8864,-94.5764,205,fhe,2.0514,2,8.3411,24.6423
3,19,20.7,18.72,122.0298,57.7205,2.0211,-26.9717,46.7909,-95.0259,205,fhe,2.0211,2,24.0669,12.9168
3,20,20.7,18.99,123.0134,58.1009,2.0434,-26.6377,47.1659,-94.768,205,fhe,2.0434,2,49.441,25.9006
3,21,20.7,19.27,122.0298,58.4791,2.066,-26.2994,47.5393,-94.5082,205,fhe,2.066,2,52.0774,28.8777
3,22,20.7,19.56,75.7555,58.8551,2.0888,-25.9563,47.9114,-94.2465,205,fhe,2.0888,2,44.2124,28.6357
3,23,20.7,19.86,60.5928,59.2291,2.112,-25.6081,48.2823,-93.9825,205,fhe,2.112,2,13.3883,25.7175
3,24,20.7,20.17,52.5966,59.6011,2.1356,-25.2545,48.6521,-93.7161,205,fhe,2.1356,2,9.091,25.6897
4,19,23.94,22.51,128.3499,57.5783,2.0854,-26.0084,46.5779,-94.3591,205,fhe,2.0854,2,24.0669,11.3149
4,20,23.94,22.81,167.1838,57.9489,2.111,-25.6244,46.9414,-94.0693,205,fhe,2.111,2,58.8922,25.3361
4,21,23.94,23.13,167.1838,58.317,2.1369,-25.2351,47.3032,-93.7774,205,fhe,2.1369,2,66.7584,28.0646
4,22,23.94,23.45,123.4075,58.6828,2.1632,-24.8401,47.6636,-93.4831,205,fhe,2.1632,2,56.3409,28.0646
4,23,23.94,23.78,73.8534,59.0462,2.19,-24.4391,48.0226,-93.1862,205,fhe,2.19,2,27.1739,25.0217
4,24,23.94,24.13,60.5928,59.4073,2.2171,-24.0317,48.3804,-92.8864,205,fhe,2.2171,2,13.7543,24.1956
4,25,23.94,24.48,52.0034,59.7662,2.2447,-23.6177,48.7369,-92.5836,205,fhe,2.2447,2,7.843,25.5713
5,20,27.18,26.61,207.5621,57.762,2.1761,-24.6469,46.6863,-93.3975,205,fhe,2.1761,2,81.137,19.5967
5,21,27.18,26.95,207.5621,58.1184,2.2053,-24.2093,47.0352,-93.0751,205,fhe,2.2053,2,82.5376,21.4379
5,22,27.18,27.31,186.521,58.4721,2.2349,-23.7652,47.3825,-92.7501,205,fhe,2.2349,2,85.9827,24.0515
5,23,27.18,27.67,116.1431,58.8232,2.265,-23.3144,47.7283,-92.4221,205,fhe,2.265,2,49.547,23.959
5,24,27.18,28.05,82.253,59.1717,2.2955,-22.8565,48.0727,-92.0909,205,fhe,2.2955,2,22.0963,22.8455
5,25,27.18,28.43,68.589,59.5176,2.3265,-22.3912,48.4157,-91.7564,205,fhe,2.3265,2,7.843,22.0891
5,26,27.18,28.83,56.4414,59.861,2.358,-21.9182,48.7574,-91.4184,205,fhe,2.358,2,5.6742,24.3936
6,20,30.42,30.38,223.1375,57.5416,2.2386,-23.7101,46.4019,-92.7553,205,fhe,2.2386,2,81.2414,17.998
6,21,30.42,30.75,223.6005,57.8848,2.2708,-23.2272,46.7367,-92.4043,205,fhe,2.2708,2,88.8431,20.3026
6,22,30.42,31.13,222.6883,58.2249,2.3034,-22.7372,47.0697,-92.0503,205,fhe,2.3034,2,111.5903,22.2873
6,23,30.42,31.52,198.6149,58.5621,2.3366,-22.24,47.401,-91.6933,205,fhe,2.3366,2,111.5903,23.959
6,24,30.42,31.92,111.9028,58.8963,2.3702,-21.7351,47.7307,-91.3328,205,fhe,2.3702,2,41.49,23.7879
6,25,30.42,32.33,88.9602,59.2276,2.4044,-21.2224,48.0589,-90.9689,205,fhe,2.4044,2,11.4034,22.0335
6,26,30.42,32.75,66.8402,59.556,2.4392,-20.7015,48.3856,-90.6012,205,fhe,2.4392,2,6.2279,22.0891
6,27,30.42,33.19,54.9697,59.8815,2.4744,-20.1721,48.7108,-90.2297,205,fhe,2.4744,2,5.6949,24.6362
7,21,33.66,34.5,275.3992,57.6178,2.333,-22.2936,46.4091,-91.7673,205,fhe,2.333,2,98.7237,20.3026
7,22,33.66,34.9,249.4025,57.943,2.3685,-21.7612,46.7267,-91.3866,205,fhe,2.3685,2,121.2132,22.8257
7,23,33.66,35.31,238.6896,58.2648,2.4045,-21.2212,47.0423,-91.0026,205,fhe,2.4045,2,116.4428,25.8216
7,24,33.66,35.74,166.6302,58.5833,2.441,-20.6733,47.3562,-90.6151,205,fhe,2.441,2,93.9307,26.2051
7,25,33.66,36.17,121.8903,58.8984,2.4781,-20.1172,47.6684,-90.224,205,fhe,2.4781,2,41.49,24.9526
7,26,33.66,36.62,90.6794,59.2103,2.5157,-19.5527,47.9789,-89.8291,205,fhe,2.5157,2,11.4915,24.6362
7,27,33.66,37.07,67.2231,59.5189,2.554,-18.9795,48.2877,-89.4303,205,fhe,2.554,2,9.303,25.1333
7,28,33.66,37.54,51.43,59.8242,2.5928,-18.3975,48.595,-89.0273,205,fhe,2.5928,2,7.0499,25.3101
8,22,36.9,38.63,306.7734,57.6283,2.4298,-20.8416,46.3551,-90.761,205,fhe,2.4298,2,111.5903,22.8257
8,23,36.9,39.06,258.0663,57.9335,2.4684,-20.2627,46.6541,-90.3523,205,fhe,2.4684,2,95.294,26.8076
8,24,36.9,39.5,241.1743,58.2349,2.5075,-19.6758,46.9511,-89.9402,205,fhe,2.5075,2,95.294,29.2877
8,25,36.9,39.96,163.1721,58.5327,2.5472,-19.0806,47.2462,-89.5243,205,fhe,2.5472,2,91.2966,29.0941
8,26,36.9,40.42,119.9111,58.8268,2.5875,-18.477,47.5395,-89.1047,205,fhe,2.5875,2,35.0804,28.5301
8,27,36.9,40.89,92.5776,59.1172,2.6283,-17.8647,47.8309,-88.6811,205,fhe,2.6283,2,11.7523,28.5301
8,28,36.9,41.37,73.9268,59.4039,2.6697,-17.2435,48.1205,-88.2534,205,fhe,2.6697,2,7.8558,27.6466
8,29,36.9,41.86,59.4262,59.6869,2.7117,-16.6134,48.4083,-87.8215,205,fhe,2.7117,2,6.9947,29.1939
9,22,40.14,42.31,314.6968,57.2832,2.4871,-19.9819,45.9569,-90.1757,205,fhe,2.4871,2,87.9695,22.8257
9,23,40.14,42.76,304.8513,57.5705,2.528,-19.3681,46.2382,-89.7446,205,fhe,2.528,2,87.9695,23.4743
9,24,40.14,43.22,267.9248,57.8538,2.5695,-18.7464,46.5173,-89.3101,205,fhe,2.5695,2,95.294,27.2241
9,25,40.14,43.68,251.6513,58.1331,2.6115,-18.1165,46.7944,-88.872,205,fhe,2.6115,2,101.3758,29.0941
9,26,40.14,44.15,163.1721,58.4083,2.654,-17.4783,47.0694,-88.4301,205,fhe,2.654,2,95.8402,28.5301
9,27,40.14,44.64,119.9111,58.6794,2.6971,-16.8317,47.3425,-87.9844,205,fhe,2.6971,2,35.155,28.4988
9,28,40.14,45.13,101.0955,58.9464,2.7408,-16.1764,47.6135,-87.5347,205,fhe,2.7408,2,11.7523,28.3589
9,29,40.14,45.62,85.1031,59.2092,2.7851,-15.5124,47.8825,-87.0809,205,fhe,2.7851,2,7.6757,29.6513
9,30,40.14,46.13,73.0796,59.4679,2.83,-14.8395,48.1495,-86.6228,205,fhe,2.83,2,7.8844,29.6639
9,31,40.14,46.64,59.2269,59.7223,2.8754,-14.1578,48.4146,-86.1604,205,fhe,2.8754,2,7.8844,29.5946
10,23,43.38,46.41,304.8513,57.1783,2.5832,-18.5406,45.7964,-89.181,205,fhe,2.5832,2,100.2049,20.6877
10,24,43.38,46.87,295.8117,57.4425,2.6267,-17.8883,46.0569,-88.7265,205,fhe,2.6267,2,101.3758,23.4743
10,25,43.38,47.35,279.8194,57.7023,2.6707,-17.228,46.3151,-88.2686,205,fhe,2.6707,2,113.0248,27.1025
10,26,43.38,47.83,253.9002,57.9576,2.7153,-16.5598,46.5711,-87.8071,205,fhe,2.7153,2,123.1282,27.1373
10,27,43.38,48.32,220.8235,58.2085,2.7604,-15.8835,46.8249,-87.3419,205,fhe,2.7604,2,116.9182,27.1841
10,28,43.38,48.81,146.5338,58.4549,2.806,-15.199,47.0765,-86.8728,205,fhe,2.806,2,60.8483,27.9961
10,29,43.38,49.31,121.3907,58.6968,2.8522,-14.5062,47.326,-86.3999,205,fhe,2.8522,2,37.5437,29.3031
10,30,43.38,49.82,96.6753,58.9342,2.8989,-13.8051,47.5733,-85.9229,205,fhe,2.8989,2,10.137,29.6513
10,31,43.38,50.33,93.5454,59.1669,2.9462,-13.0957,47.8184,-85.4418,205,fhe,2.9462,2,10.137,29.5955
10,32,43.38,50.85,66.6844,59.395,2.9941,-12.3779,48.0613,-84.9565,205,fhe,2.9941,2,10.8882,25.7328
11,24,46.62,50.48,318.3355,57.0036,2.679,-17.1036,45.572,-88.1908,205,fhe,2.679,2,111.959,20.6877
11,25,46.62,50.96,321.9906,57.2431,2.7248,-16.4174,45.8106,-87.7155,205,fhe,2.7248,2,117.0782,22.0131
11,26,46.62,51.44,322.8871,57.4779,2.771,-15.7236,46.0468,-87.2368,205,fhe,2.771,2,140.0435,24.3236
11,27,46.62,51.93,302.9637,57.7079,2.8178,-15.0222,46.2807,-86.7547,205,fhe,2.8178,2,128.3933,24.8053
11,28,46.62,52.43,295.7293,57.933,2.865,-14.3132,46.5122,-86.269,205,fhe,2.865,2,126.0923,27.5111
11,29,46.62,52.93,221.104,58.1533,2.9128,-13.5966,46.7414,-85.7796,205,fhe,2.9128,2,120.9136,29.3031
11,30,46.62,53.44,144.2356,58.3687,2.9611,-12.8723,46.9682,-85.2865,205,fhe,2.9611,2,71.212,29.6415
