-6.93241706845 3.61548762387 0.5   True 64.0 0.0 419.985261617 56.0349255035 "2012-10-23 07:16:00"
-6.93241706845   63.64 -1.15 False 63.5 0.0 1158.03075371  "2012-10-23 07:16:00"
-3.38710798389 2.0127909676 0.5   True 64.0 0.0 400.780822853 28.4585192285 "2012-10-23 07:24:00"
-3.38710798389   63.05 -0.9 False 63.0 0.0 902.535876186  "2012-10-23 07:24:00"
-3.38710798389   63.56 -0.98 False 63.5 0.0 985.062778995  "2012-10-23 07:24:00"
-3.38710798389   64.52 -0.37 False 64.5 0.0 375.117016831  "2012-10-23 07:24:00"
-9.24486901409 1.66040152942 1.0   True 64.0 -1.0 616.456770633 38.9776065798 "2012-10-23 07:26:00"
-4.98076241823 3.46735659153 1.5   True 64.0 0.0 512.322468808 70.6668826287 "2012-10-23 07:26:00"
-3.51683365881 2.44630396647 0.5   True 63.5 0.0 622.477303879 48.9287079191 "2012-10-23 07:26:00"
-3.51683365881   63.04 -0.66 False 63.0 0.0 659.606637385  "2012-10-23 07:26:00"
-9.24486901409   64.59 -1.57 False 64.5 -1.0 577.284304164  "2012-10-23 07:26:00"
-9.75917445195 1.50627478709 1.0   True 64.0 -1.0 533.932461226 29.347245696 "2012-10-23 07:28:00"
-3.42829271903 2.01175085614 0.5   True 64.0 0.0 450.682154951 31.8226758166 "2012-10-23 07:28:00"
-9.53371598176 3.20063896742 0.5   True 63.5 0.0 626.839341281 51.9097210004 "2012-10-23 07:28:00"
-9.53371598176   63.12 -0.69 False 63.0 0.0 704.274600822  "2012-10-23 07:28:00"
-3.67540389817 0.226005506921 0.5   True 64.5 -3.0 370.374642831 2.72992279507 "2014-10-15 03:04:00"
-13.8562413904 4.16352339119 0.5   True 61.0 -6.0 861.11144381 36.852913866 "2013-10-02 03:30:00"
-13.8562413904   54.66 -6.66 False 54.5 -6.0 681.892760999  "2013-10-02 03:30:00"
-13.8562413904   55.18 -6.75 False 55.0 -6.0 769.318090381  "2013-10-02 03:30:00"
-13.8562413904   55.7 -6.8 False 55.5 -6.0 826.837809092  "2013-10-02 03:30:00"
-13.8562413904   56.23 -6.95 False 56.0 -6.0 980.28007597  "2013-10-02 03:30:00"
-13.8562413904   56.77 -7.11 False 56.5 -6.0 1139.35782342  "2013-10-02 03:30:00"
-13.8562413904   57.31 -7.26 False 57.0 -6.0 1301.27213761  "2013-10-02 03:30:00"
-13.8562413904   57.82 -7.3 False 57.5 -6.0 1334.1244266  "2013-10-02 03:30:00"
-13.8562413904   58.3 -7.21 False 58.0 -6.0 1247.68305244  "2013-10-02 03:30:00"
-13.8562413904   58.81 -7.27 False 58.5 -6.0 1310.86804028  "2013-10-02 03:30:00"
-13.8562413904   59.33 -7.32 False 59.0 -6.0 1359.72692755  "2013-10-02 03:30:00"
-13.8562413904   59.82 -7.29 False 59.5 -6.0 1332.58444444  "2013-10-02 03:30:00"
