MLAT MLON date time
60.2 0.0 20150202 0100
58.0 15.0 20150202 0100
56.2 30.0 20150202 0100
54.8 45.0 20150202 0100
54.1 60.0 20150202 0100
53.9 75.0 20150202 0100
54.4 90.0 20150202 0100
55.5 105.0 20150202 0100
57.1 120.0 20150202 0100
59.2 135.0 20150202 0100
61.5 150.0 20150202 0100
63.9 165.0 20150202 0100
66.3 180.0 20150202 0100
68.4 195.0 20150202 0100
70.3 210.0 20150202 0100
71.6 225.0 20150202 0100
72.4 240.0 20150202 0100
72.5 255.0 20150202 0100
72.0 270.0 20150202 0100
70.9 285.0 20150202 0100
69.3 300.0 20150202 0100
67.3 315.0 20150202 0100
65.0 330.0 20150202 0100
62.5 345.0 20150202 0100
60.2 0.0 20150202 0100
58.6 0.0 20150202 0130
56.3 15.0 20150202 0130
54.5 30.0 20150202 0130
53.2 45.0 20150202 0130
52.5 60.0 20150202 0130
52.5 75.0 20150202 0130
53.2 90.0 20150202 0130
54.5 105.0 20150202 0130
56.3 120.0 20150202 0130
58.5 135.0 20150202 0130
61.0 150.0 20150202 0130
63.6 165.0 20150202 0130
66.1 180.0 20150202 0130
68.3 195.0 20150202 0130
70.2 210.0 20150202 0130
71.5 225.0 20150202 0130
72.1 240.0 20150202 0130
72.1 255.0 20150202 0130
71.5 270.0 20150202 0130
70.2 285.0 20150202 0130
68.4 300.0 20150202 0130
66.1 315.0 20150202 0130
63.6 330.0 20150202 0130
61.1 345.0 20150202 0130
58.6 0.0 20150202 0130
59.8 0.0 20150202 0200
58.7 15.0 20150202 0200
58.0 30.0 20150202 0200
57.7 45.0 20150202 0200
57.7 60.0 20150202 0200
58.2 75.0 20150202 0200
59.1 90.0 20150202 0200
60.3 105.0 20150202 0200
61.7 120.0 20150202 0200
63.2 135.0 20150202 0200
64.8 150.0 20150202 0200
66.3 165.0 20150202 0200
67.7 180.0 20150202 0200
68.8 195.0 20150202 0200
69.5 210.0 20150202 0200
69.8 225.0 20150202 0200
69.8 240.0 20150202 0200
69.3 255.0 20150202 0200
68.4 270.0 20150202 0200
67.2 285.0 20150202 0200
65.8 300.0 20150202 0200
64.3 315.0 20150202 0200
62.7 330.0 20150202 0200
61.2 345.0 20150202 0200
59.8 0.0 20150202 0200
58.8 0.0 20150202 0230
58.4 15.0 20150202 0230
58.4 30.0 20150202 0230
58.7 45.0 20150202 0230
59.4 60.0 20150202 0230
60.4 75.0 20150202 0230
61.7 90.0 20150202 0230
63.1 105.0 20150202 0230
64.5 120.0 20150202 0230
65.9 135.0 20150202 0230
67.2 150.0 20150202 0230
68.3 165.0 20150202 0230
69.0 180.0 20150202 0230
69.4 195.0 20150202 0230
69.4 210.0 20150202 0230
69.1 225.0 20150202 0230
68.4 240.0 20150202 0230
67.4 255.0 20150202 0230
66.1 270.0 20150202 0230
64.7 285.0 20150202 0230
63.3 300.0 20150202 0230
61.9 315.0 20150202 0230
60.6 330.0 20150202 0230
59.5 345.0 20150202 0230
58.8 0.0 20150202 0230
58.8 0.0 20150202 0300
58.4 15.0 20150202 0300
58.4 30.0 20150202 0300
58.7 45.0 20150202 0300
59.4 60.0 20150202 0300
60.4 75.0 20150202 0300
61.7 90.0 20150202 0300
63.1 105.0 20150202 0300
64.5 120.0 20150202 0300
65.9 135.0 20150202 0300
67.2 150.0 20150202 0300
68.3 165.0 20150202 0300
69.0 180.0 20150202 0300
69.4 195.0 20150202 0300
69.4 210.0 20150202 0300
69.1 225.0 20150202 0300
68.4 240.0 20150202 0300
67.4 255.0 20150202 0300
66.1 270.0 20150202 0300
64.7 285.0 20150202 0300
63.3 300.0 20150202 0300
61.9 315.0 20150202 0300
60.6 330.0 20150202 0300
59.5 345.0 20150202 0300
58.8 0.0 20150202 0300
58.9 0.0 20150202 0330
58.1 15.0 20150202 0330
57.5 30.0 20150202 0330
57.3 45.0 20150202 0330
57.5 60.0 20150202 0330
57.9 75.0 20150202 0330
58.7 90.0 20150202 0330
59.7 105.0 20150202 0330
60.9 120.0 20150202 0330
62.2 135.0 20150202 0330
63.5 150.0 20150202 0330
64.7 165.0 20150202 0330
65.8 180.0 20150202 0330
66.6 195.0 20150202 0330
67.2 210.0 20150202 0330
67.4 225.0 20150202 0330
67.2 240.0 20150202 0330
66.7 255.0 20150202 0330
66.0 270.0 20150202 0330
65.0 285.0 20150202 0330
63.8 300.0 20150202 0330
62.5 315.0 20150202 0330
61.2 330.0 20150202 0330
59.9 345.0 20150202 0330
58.9 0.0 20150202 0330
58.9 0.0 20150202 0400
58.2 15.0 20150202 0400
57.6 30.0 20150202 0400
57.3 45.0 20150202 0400
57.3 60.0 20150202 0400
57.6 75.0 20150202 0400
58.1 90.0 20150202 0400
58.8 105.0 20150202 0400
59.7 120.0 20150202 0400
60.7 135.0 20150202 0400
61.8 150.0 20150202 0400
62.8 165.0 20150202 0400
63.7 180.0 20150202 0400
